Name,Hash,Id,Tag,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Annealed Shaper Gloves,3128915572,"""6917529090312155530""",,Legendary,Gauntlets,Warlock,676,Arc Damage Resistance,1,0,2,1,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Rasmussen Clan,Hand Cannon Loader,Impact Induction,Heavy Ammo Finder,Machine Gun Scavenger,,
Star-Crossed Heart,1510035423,"""6917529084407072906""",,Legendary,Chest Armor,Titan,10,Solar Damage Resistance,1,1,1,2,,Tier 1 Armor,Restorative Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Unflinching Kinetic Aim,Unflinching Power Aim,Hand Cannon Reserves,Sidearm Reserves,,,
Dragonfly Regalia Vest,190167440,"""6917529076802282993""",,Legendary,Chest Armor,Hunter,10,Solar Damage Resistance,1,2,0,2,,Tier 1 Armor,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Unflinching Auto Rifle Aim,Unflinching Hand Cannon Aim,Sidearm Reserves,Special Ammo Finder,,,
Mantle of the Cormorant Blade,1178752364,"""6917529092025403405""",,Legendary,Helmet,Warlock,10,Void Damage Resistance,1,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Sidearm Targeting,Submachine Gun Targeting,Grenade Launcher Reserves,Sniper Rifle Reserves,,,
Vigil of Heroes,1514863327,"""6917529084820577669""",,Legendary,Helmet,Titan,650,Solar Damage Resistance,2,1,1,1,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Vanguard Veteran,Heavy Lifting,Energy Weapon Targeting,Rocket Launcher Reserves,Heavy Ammo Finder,,
Sunbreak Greaves,2004752092,"""6917529091797953351""",,Legendary,Leg Armor,Titan,10,Arc Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Scout Rifle Dexterity,Power Dexterity,Pulse Rifle Scavenger,Sidearm Scavenger,,,
Frostveil Grasps,1695429263,"""6917529086508732077""",,Legendary,Gauntlets,Hunter,10,Arc Damage Resistance,1,2,0,1,,Tier 1 Armor,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Momentum Transfer,Energy Weapon Loader,Linear Fusion Rifle Scavenger,Machine Gun Scavenger,,,
Bulletsmith's Ire Greaves,2878130185,"""6917529087405832069""",,Legendary,Leg Armor,Titan,633,Arc Damage Resistance,2,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Shotgun Dexterity,Submachine Gun Dexterity,Outreach,Auto Rifle Scavenger,Hand Cannon Scavenger,
Notorious Sentry Robes,2765681918,"""6917529091994295585""",keep,Legendary,Chest Armor,Warlock,682,Arc Damage Resistance,1,0,1,3,,Sentry +3,Heavy Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Unflinching Grenade Launcher Aim,Unflinching Sidearm Aim,Unflinching Energy Aim,Primary Ammo Finder,Special Ammo Finder,
Wing Theorem,929917162,"""6917529090803592862""",,Legendary,Gauntlets,Warlock,678,Solar Damage Resistance,1,1,2,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Recovery Mod,Tier 1 Armor,Crucible Legacy,Bow Reloader,Rocket Launcher Loader,Fusion Rifle Scavenger,Rocket Launcher Scavenger,
Frostreach Hood,671247011,"""6917529086770013370""",,Legendary,Helmet,Warlock,10,Arc Damage Resistance,1,1,1,1,,Tier 1 Armor,Heavy Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Heavy Lifting,Power Weapon Targeting,Fusion Rifle Reserves,Special Ammo Finder,,,
Prodigal Bond,2800566014,"""6917529091994300032""",,Legendary,Warlock Bond,Warlock,681,Solar Damage Resistance,3,0,0,0,,Tier 3 Armor,Innervation,Better Already,Arrow Scavenger,Rocket Launcher Scavenger,,,,,,
Bulletsmith's Ire Greaves,2878130185,"""6917529088978220648""",favorite,Legendary,Leg Armor,Titan,650,Solar Damage Resistance,2,0,0,3,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Traction,Dynamo,Energy Dexterity,Hand Cannon Scavenger,Submachine Gun Scavenger,
Notorious Sentry Bond,4051618675,"""6917529091420807556""",keep,Legendary,Warlock Bond,Warlock,682,Arc Damage Resistance,3,0,0,0,,Sentry +3,Tier 3 Armor,Insulation,Innervation,Recuperation,Bow Reserves,Fusion Rifle Scavenger,,,,
Notorious Collector Gloves,3271153034,"""6917529091994300392""",keep,Legendary,Gauntlets,Warlock,681,Solar Damage Resistance,2,1,1,1,,Collector +3,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Linear Fusion Rifle Loader,Impact Induction,Light Arms Loader,Grenade Launcher Scavenger,Machine Gun Scavenger,
Notorious Collector Robes,4174424194,"""6917529091997083370""",keep,Legendary,Chest Armor,Warlock,684,Arc Damage Resistance,2,0,1,3,,Collector +3,Heavy Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Unflinching Grenade Launcher Aim,Unflinching Hand Cannon Aim,Unflinching Large Arms,Auto Rifle Reserves,Scout Rifle Reserves,
Dragonfly Regalia Wings,3412289997,"""6917529070310569357""",,Legendary,Hunter Cloak,Hunter,10,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,Insulation,Recuperation,Auto Rifle Reserves,Primary Ammo Finder,,,,,,
Mark of the Great Hunt,1021341893,"""6917529079395205554""",keep,Legendary,Titan Mark,Titan,592,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Innervation,Invigoration,Recuperation,Heavy Ammo Finder,Special Ammo Finder,,,,,
Annealed Shaper Bond,91359169,"""6917529090856402492""",,Legendary,Warlock Bond,Warlock,688,Solar Damage Resistance,1,0,0,0,,Tier 1 Armor,New Age Black Armory,Innervation,Recuperation,Sidearm Scavenger,Special Ammo Finder,,,,,
Vigil of Heroes,1514863327,"""6917529084823143859""",,Legendary,Helmet,Titan,650,Void Damage Resistance,1,1,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Vanguard Veteran,Shotgun Targeting,Sidearm Targeting,Linear Fusion Rifle Reserves,Shotgun Reserves,,
Vanguard Dare Vest,3422717473,"""6917529084904566342""",keep,Legendary,Chest Armor,Hunter,10,Arc Damage Resistance,1,1,1,2,,Tier 1 Armor,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Unflinching Kinetic Aim,Unflinching Large Arms,Hand Cannon Reserves,Primary Ammo Finder,,,
Vanguard Dare Grips,1768177879,"""6917529085310856216""",,Legendary,Gauntlets,Hunter,10,Solar Damage Resistance,1,2,1,0,,Tier 1 Armor,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Scout Rifle Loader,Fastball,Sniper Rifle Scavenger,Special Ammo Finder,,,
Prodigal Greaves,3360070350,"""6917529085451576812""",,Legendary,Leg Armor,Titan,650,Void Damage Resistance,2,2,1,0,,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Hand Cannon Dexterity,Dynamo,Scout Rifle Scavenger,Sidearm Scavenger,,,
Outlawed Invader Boots,1920643317,"""6917529090809814809""",,Legendary,Leg Armor,Warlock,660,Void Damage Resistance,1,2,1,0,,Invader +2,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Bow Dexterity,Scout Rifle Dexterity,Hand Cannon Scavenger,Scout Rifle Scavenger,,
Hood of the Great Hunt,3251351304,"""6917529091103682491""",keep,Legendary,Helmet,Warlock,694,Void Damage Resistance,1,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Fusion Rifle Targeting,Sidearm Targeting,Enhanced Bow Targeting,Fusion Rifle Reserves,Heavy Ammo Finder,,
Iron Remembrance Vest,279785447,"""6917529079707387490""",,Legendary,Chest Armor,Hunter,578,Void Damage Resistance,1,1,0,3,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Rusted Iron,Unflinching Kinetic Aim,Unflinching Power Aim,Auto Rifle Reserves,Sidearm Reserves,,
Bulletsmith's Ire Mark,388999052,"""6917529086722336949""",keep,Legendary,Titan Mark,Titan,631,Solar Damage Resistance,2,0,0,0,,Tier 2 Armor,Midnight Smith,Innervation,Recuperation,Better Already,Grenade Launcher Scavenger,Primary Ammo Finder,,,,
Ancient Apocalypse Boots,1193646249,"""6917529091481488485""",,Legendary,Leg Armor,Warlock,700,Solar Damage Resistance,3,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Gambit Leather,Linear Fusion Dexterity,Energy Dexterity,Arrow Scavenger,Sidearm Scavenger,,
Ancient Apocalypse Greaves,3486086024,"""6917529084375824549""",,Legendary,Leg Armor,Titan,626,Arc Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Gambit Leather,Sniper Rifle Dexterity,Kinetic Dexterity,Pulse Rifle Scavenger,Primary Ammo Finder,,
Notorious Reaper Grips,3587100703,"""6917529091309924915""",keep,Legendary,Gauntlets,Hunter,682,Void Damage Resistance,2,1,1,1,,Reaper +3,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Shotgun Loader,Impact Induction,Large Weapon Loader,Fusion Rifle Scavenger,Shotgun Scavenger,
Star-Crossed Footsteps,558210411,"""6917529087690782237""",,Legendary,Leg Armor,Titan,10,Void Damage Resistance,4,2,1,0,,Tier 4 Armor,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Fusion Rifle Dexterity,Power Dexterity,Pulse Rifle Scavenger,Primary Ammo Finder,,,
Frostveil Cloak,3301429924,"""6917529085071858940""",keep,Legendary,Hunter Cloak,Hunter,10,Arc Damage Resistance,1,0,0,0,,Tier 1 Armor,Insulation,Invigoration,Fusion Rifle Scavenger,Grenade Launcher Scavenger,,,,,,
Ancient Apocalypse Cloak,3184912423,"""6917529068577250994""",keep,Legendary,Hunter Cloak,Hunter,514,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Gambit Leather,Invigoration,Recuperation,Linear Fusion Rifle Reserves,Rocket Launcher Scavenger,,,,,
Ancient Apocalypse Mask,629787707,"""6917529087455099930""",,Legendary,Helmet,Hunter,632,Solar Damage Resistance,2,2,0,1,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Gambit Leather,Fusion Rifle Targeting,Energy Weapon Targeting,Linear Fusion Rifle Reserves,Machine Gun Reserves,,
Scatterhorn Boots,1704861826,"""6917529084249451456""",,Legendary,Leg Armor,Warlock,624,Arc Damage Resistance,2,2,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Tangled Rust,Traction,Outreach,Pulse Rifle Scavenger,Special Ammo Finder,,
Wing Discipline,1464207979,"""6917529087541614327""",keep,Legendary,Gauntlets,Titan,650,Arc Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Crucible Legacy,Light Arms Loader,Large Weapon Loader,Sword Scavenger,Machine Gun Scavenger,,
Bulletsmith's Ire Gauntlets,4125324487,"""6917529088577285291""",favorite,Legendary,Gauntlets,Titan,650,Void Damage Resistance,3,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Midnight Smith,Scout Rifle Loader,Momentum Transfer,Light Arms Loader,Sniper Rifle Scavenger,Special Ammo Finder,
Wing Discipline,1464207979,"""6917529091828296792""",,Legendary,Gauntlets,Titan,695,Void Damage Resistance,3,0,1,2,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Crucible Legacy,Momentum Transfer,Energy Weapon Loader,Fusion Rifle Scavenger,Machine Gun Scavenger,,
Bulletsmith's Ire Helm,2921334134,"""6917529091583353985""",keep,Legendary,Helmet,Titan,672,Void Damage Resistance,3,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Midnight Smith,Hands-On,Pump Action,Precision Weapon Targeting,Fusion Rifle Reserves,Sword Reserves,
Duster of the Cormorant Blade,189621627,"""6917529090809816417""",,Legendary,Chest Armor,Warlock,10,Solar Damage Resistance,3,1,1,2,,Heavy Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 3 Armor,Unflinching Shotgun Aim,Unflinching Submachine Gun Aim,Bow Reserves,Special Ammo Finder,,,
Notorious Sentry Gloves,458336262,"""6917529091423436146""",keep,Legendary,Gauntlets,Warlock,683,Void Damage Resistance,1,2,1,0,,Sentry +3,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Pulse Rifle Loader,Scout Rifle Loader,Machine Gun Loader,Rocket Launcher Scavenger,Special Ammo Finder,
Wing Theorem,4264096388,"""6917529079272597205""",,Legendary,Leg Armor,Warlock,596,Arc Damage Resistance,1,2,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Crucible Legacy,Shotgun Dexterity,Traction,Auto Rifle Scavenger,Special Ammo Finder,,
Wing Discipline,185853176,"""6917529086991181985""",,Legendary,Titan Mark,Titan,650,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Crucible Legacy,Invigoration,Better Already,Pulse Rifle Reserves,Sidearm Reserves,,,,,
Reverie Dawn Cloak,3306564654,"""6917529090153129316""",keep,Legendary,Hunter Cloak,Hunter,660,Void Damage Resistance,2,0,0,0,,Riven's Curse,Tier 2 Armor,Burnished Dreams,Innervation,Invigoration,Recuperation,Auto Rifle Reserves,Auto Rifle Scavenger,,,
Strides of the Great Hunt,3494130310,"""6917529090069822268""",,Legendary,Leg Armor,Hunter,651,Void Damage Resistance,3,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Bow Dexterity,Kinetic Dexterity,Enhanced Rocket Launcher Dexterity,Arrow Scavenger,Special Ammo Finder,,
Bulletsmith's Ire Gauntlets,4125324487,"""6917529087405837629""",,Legendary,Gauntlets,Titan,650,Void Damage Resistance,2,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Fastball,Momentum Transfer,Machine Gun Loader,Sniper Rifle Scavenger,Machine Gun Scavenger,
Wing Contender,1084033161,"""6917529091692301530""",,Legendary,Leg Armor,Hunter,672,Void Damage Resistance,2,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Crucible Legacy,Sidearm Dexterity,Bomber,Auto Rifle Scavenger,Sidearm Scavenger,,
Bulletsmith's Ire Gauntlets,4125324487,"""6917529090509800652""",,Legendary,Gauntlets,Titan,663,Arc Damage Resistance,1,1,0,2,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Rocket Launcher Loader,Sidearm Loader,Momentum Transfer,Shotgun Scavenger,Special Ammo Finder,
Wing Contender,1127237110,"""6917529090175979332""",,Legendary,Helmet,Hunter,662,Void Damage Resistance,1,2,0,1,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Metallic,Submachine Gun Targeting,Light Reactor,Grenade Launcher Reserves,Special Ammo Finder,,
Outlawed Invader Grips,249655104,"""6917529090930903693""",,Legendary,Gauntlets,Hunter,672,Void Damage Resistance,3,3,0,0,,Invader +2,Mobile Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Auto Rifle Loader,Fastball,Special Ammo Finder,Machine Gun Scavenger,,
Vigil of Heroes,1490307366,"""6917529090436444223""",,Legendary,Gauntlets,Titan,672,Void Damage Resistance,2,1,1,1,,Restorative Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Vanguard Veteran,Bow Reloader,Fusion Rifle Loader,Sword Scavenger,Machine Gun Scavenger,,
Gunsmith's Devotion Robes,4238134294,"""6917529085340685725""",,Legendary,Chest Armor,Warlock,650,Void Damage Resistance,2,0,1,3,,Heavy Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Midnight Smith,Unflinching Linear Fusion Aim,Unflinching Pulse Rifle Aim,Unflinching Shotgun Aim,Auto Rifle Reserves,Submachine Gun Reserves,
Ancient Apocalypse Strides,1169857924,"""6917529091210576084""",,Legendary,Leg Armor,Hunter,677,Void Damage Resistance,2,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Gambit Leather,Perpetuation,Oversize Weapon Dexterity,Pulse Rifle Scavenger,Scout Rifle Scavenger,,
Vigil of Heroes,3916064886,"""6917529078181230458""",,Legendary,Chest Armor,Hunter,585,Solar Damage Resistance,1,1,0,3,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Vanguard Veteran,Unflinching Auto Rifle Aim,Unflinching Kinetic Aim,Auto Rifle Reserves,Sidearm Reserves,,
Vanguard Dare Cloak,4205222524,"""6917529083631023678""",,Legendary,Hunter Cloak,Hunter,650,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Insulation,Recuperation,Sidearm Scavenger,Sniper Rifle Scavenger,,,,,,
Mask of the Great Hunt,3838639757,"""6917529083908406781""",keep,Legendary,Helmet,Hunter,650,Arc Damage Resistance,2,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Bow Targeting,Heavy Lifting,Enhanced Ashes to Assets,Sword Reserves,Heavy Ammo Finder,,
Bladesmith's Memory Cloak,3164851950,"""6917529092188906818""",,Legendary,Hunter Cloak,Hunter,671,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Midnight Smith,Invigoration,Recuperation,Better Already,Bow Reserves,Auto Rifle Scavenger,,,,
Scatterhorn Bond,177829853,"""6917529086890233668""",,Legendary,Warlock Bond,Warlock,650,Arc Damage Resistance,2,0,0,0,,Tier 2 Armor,Tangled Rust,Innervation,Invigoration,Grenade Launcher Reserves,Rocket Launcher Reserves,,,,,
Wing Contender,1069887756,"""6917529079712817648""",keep,Legendary,Hunter Cloak,Hunter,572,Solar Damage Resistance,2,0,0,0,,Tier 2 Armor,Crucible Legacy,Invigoration,Better Already,Sniper Rifle Scavenger,Heavy Ammo Finder,,,,,
Helm of the Great Hunt,2274520361,"""6917529079395209080""",,Legendary,Helmet,Titan,600,Arc Damage Resistance,1,1,1,1,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Pulse Rifle Targeting,Scout Rifle Targeting,Shotgun Targeting,Linear Fusion Rifle Reserves,Shotgun Reserves,,
Bladesmith's Memory Vest,1917693279,"""6917529087203686617""",favorite,Legendary,Chest Armor,Hunter,650,Void Damage Resistance,2,1,1,2,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Midnight Smith,Unflinching Sniper Aim,Unflinching Kinetic Aim,Unflinching Light Arms Aim,Primary Ammo Finder,Special Ammo Finder,
Notorious Reaper Hood,2030998603,"""6917529091115086822""",keep,Legendary,Helmet,Warlock,700,Arc Damage Resistance,2,0,2,1,,Reaper +3,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Bow Targeting,Pulse Rifle Targeting,Enhanced Hand Cannon Targeting,Fusion Rifle Reserves,Sword Reserves,
Ancient Apocalypse Mask,629787707,"""6917529085077609702""",,Legendary,Helmet,Hunter,650,Arc Damage Resistance,1,2,1,1,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Recovery Mod,Tier 1 Armor,Gambit Leather,Pulse Rifle Targeting,Sidearm Targeting,Shotgun Reserves,Machine Gun Reserves,
Dragonfly Regalia Reaches,2530582647,"""6917529080267220312""",,Legendary,Gauntlets,Warlock,10,Arc Damage Resistance,2,1,2,0,,Tier 2 Armor,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Momentum Transfer,Sniper Rifle Scavenger,,,,,
Notorious Collector Gloves,3271153034,"""6917529091997082648""",,Legendary,Gauntlets,Warlock,684,Arc Damage Resistance,2,2,1,0,,Collector +3,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Submachine Gun Loader,Fastball,Energy Weapon Loader,Shotgun Scavenger,Special Ammo Finder,
Inaugural Revelry Robes,678051457,"""6917529092188911192""",,Legendary,Chest Armor,Warlock,681,Solar Damage Resistance,1,3,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Unflinching Fusion Rifle Aim,Unflinching Kinetic Aim,Bow Reserves,Special Ammo Finder,,,
Thorium Holt Boots,2924984456,"""6917529092176464995""",favorite,Legendary,Leg Armor,Warlock,700,Arc Damage Resistance,2,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Submachine Gun Dexterity,Oversize Weapon Dexterity,Hand Cannon Scavenger,Scout Rifle Scavenger,,,
Vanguard Dare Casque,2754217990,"""6917529087460782241""",favorite,Legendary,Helmet,Hunter,10,Void Damage Resistance,2,1,1,1,,Tier 2 Armor,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Submachine Gun Targeting,Precision Weapon Targeting,Sniper Rifle Reserves,Heavy Ammo Finder,,,
Vigil of Heroes,1007759904,"""6917529084814616699""",,Legendary,Leg Armor,Titan,650,Arc Damage Resistance,2,1,0,2,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 2 Armor,Vanguard Veteran,Outreach,Energy Dexterity,Arrow Scavenger,Pulse Rifle Scavenger,
Bond of the Cormorant Blade,2841305106,"""6917529092179586946""",keep,Legendary,Warlock Bond,Warlock,10,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Invigoration,Better Already,Shotgun Reserves,Special Ammo Finder,,,,,,
Vigil of Heroes,3569624585,"""6917529090844460261""",,Legendary,Chest Armor,Warlock,682,Arc Damage Resistance,1,2,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Vanguard Veteran,Unflinching Pulse Rifle Aim,Unflinching Kinetic Aim,Primary Ammo Finder,Special Ammo Finder,,
Hood of the Great Hunt,3251351304,"""6917529085340684322""",keep,Legendary,Helmet,Warlock,650,Void Damage Resistance,1,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Super Mod,Tier 1 Armor,Enhanced Ashes to Assets,Enhanced Sniper Rifle Targeting,Machine Gun Targeting,Shotgun Reserves,Sniper Rifle Reserves,
Plate of the Great Hunt,3614211816,"""6917529084714044072""",,Legendary,Chest Armor,Titan,614,Arc Damage Resistance,3,2,0,2,,Mobile Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Unflinching Pulse Rifle Aim,Unflinching Sidearm Aim,Unflinching Energy Aim,Auto Rifle Reserves,Submachine Gun Reserves,,
Reverie Dawn Tabard,2859583726,"""6917529084231898526""",keep,Legendary,Chest Armor,Warlock,619,Solar Damage Resistance,2,3,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Riven's Curse,Tier 2 Armor,Blueshift Dreams,Unflinching Fusion Rifle Aim,Unflinching Linear Fusion Aim,Unflinching Sniper Aim,Hand Cannon Reserves,Scout Rifle Reserves
Thorium Holt Gloves,417345678,"""6917529090841823879""",,Legendary,Gauntlets,Warlock,657,Solar Damage Resistance,2,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Rocket Launcher Loader,Fastball,Rocket Launcher Scavenger,Heavy Ammo Finder,,,
Symmetrists' Balance,776863956,"""6917529086772880250""",,Legendary,Leg Armor,Warlock,10,Arc Damage Resistance,3,1,2,0,,Tier 3 Armor,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Shotgun Dexterity,Sniper Rifle Dexterity,Auto Rifle Scavenger,Primary Ammo Finder,,,
Vernal Growth Hood,1356657785,"""6917529092182718467""",,Legendary,Helmet,Warlock,10,Solar Damage Resistance,1,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Energy Weapon Targeting,Machine Gun Targeting,Special Ammo Finder,Machine Gun Reserves,,,
Vigil of Heroes,3670149407,"""6917529092043641599""",,Legendary,Hunter Cloak,Hunter,700,Arc Damage Resistance,2,0,0,0,,Tier 2 Armor,Vanguard Veteran,Insulation,Recuperation,Rocket Launcher Reserves,Pulse Rifle Scavenger,,,,,
Gauntlets of the Great Hunt,65929376,"""6917529084381356427""",,Legendary,Gauntlets,Titan,630,Solar Damage Resistance,2,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Sidearm Loader,Fastball,Impact Induction,Grenade Launcher Scavenger,Machine Gun Scavenger,,
Inaugural Revelry Robes,678051457,"""6917529092191916181""",,Legendary,Chest Armor,Warlock,681,Arc Damage Resistance,3,3,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 3 Armor,Unflinching Pulse Rifle Aim,Unflinching Sidearm Aim,Auto Rifle Reserves,Primary Ammo Finder,,,
Vigil of Heroes,3569624585,"""6917529091159329266""",keep,Legendary,Chest Armor,Warlock,700,Arc Damage Resistance,1,0,2,2,,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Impact Mod,Tier 1 Armor,Vanguard Veteran,Unflinching Sidearm Aim,Unflinching Rifle Aim,Auto Rifle Reserves,Hand Cannon Reserves,
Thorium Holt Hood,2470746631,"""6917529092296865340""",,Legendary,Helmet,Warlock,673,Solar Damage Resistance,4,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 4 Armor,Auto Rifle Targeting,Power Weapon Targeting,Shotgun Reserves,Heavy Ammo Finder,,,
Prodigal Gloves,2475888361,"""6917529090269218483""",favorite,Legendary,Gauntlets,Warlock,676,Solar Damage Resistance,1,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Kinetic Weapon Loader,Light Arms Loader,Shotgun Scavenger,Heavy Ammo Finder,,,
Wing Discipline,185853176,"""6917529081437545854""",,Legendary,Titan Mark,Titan,600,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Crucible Legacy,Innervation,Recuperation,Auto Rifle Reserves,Hand Cannon Scavenger,,,,,
Woven Firesmith Boots,3457205569,"""6917529088720011249""",,Legendary,Leg Armor,Hunter,650,Void Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,New Age Black Armory,Auto Rifle Dexterity,Fusion Rifle Dexterity,Submachine Gun Scavenger,Primary Ammo Finder,,
